Ricardo,Darín,El secreto de sus ojos,Benjamín Espósito
Guillermo,Francella,El secreto de sus ojos,Pablo Sandoval
Ricardo,Darín,Nueve Reinas,Marcos
Gastón,Pauls,Nueve Reinas,Juan
Alejandro,Awada,Nueve Reinas,Washington
Ricardo,Darín,Relatos Salvajes,Simón Fisher
Oscar,Martínez,Relatos Salvajes,Mauricio
Leonardo,Sbaraglia,Relatos Salvajes,Diego Itaurralde
Erica,Rivas,Relatos Salvajes,Romina
Matilde,Zorrilla,Esperando la carroza,Elvira Romero de Musicardi
Antonio,Gasalla,Esperando la carroza,Mamá Cora
Ricardo,Darín,Argentina 1985,Julio César Strassera
Carlos,Portaluppi,Argentina 1985,Juez
Alejandra,Flechner,Argentina 1985,Silvia
Oscar,Martínez,Inseparables,Felipe
Alejandra,Flechner,Inseparables,Ivonne
Rodrigo,de la Serna,Inseparables,Tito
